#id;image_id;count;k_value;score;std_dev
5439;6683;51;8;1193.4977945281091;1.968988484408433
5440;11543;50;8;1193.5111228743067;1.1984389355518859
5441;11863;50;8;1193.5618007594894;3.92368524134983
5442;5549;50;8;1193.6071162922256;1.6360115655413143
5443;4006;50;8;1193.6193403852303;1.8122101945223217
5444;5212;50;8;1193.6427561380196;1.9839838097806408
5445;6427;50;8;1193.6568839076401;2.1574979820468423
5446;7589;50;8;1193.6718063563853;1.3752887138138288
5447;1527;50;8;1193.701670722822;2.716121454737716
5448;5292;50;8;1193.7059038464224;3.6095528875400524
5449;12515;50;8;1193.7257556461336;1.9877119440116853
5450;12094;50;8;1193.7493675469352;1.636315658770394
5451;9452;50;8;1193.774868134018;2.4183869275871612
5452;1578;50;8;1193.779954058027;2.078276734996397
5453;124;50;8;1193.7833323000355;1.8051082754459442
5454;12946;50;8;1193.800093980213;1.846352664192828
5455;10378;50;8;1193.8445987114378;1.1734887404244803
5456;1928;50;8;1193.888283968943;1.2974935650471868
5457;9805;50;8;1193.9018042886266;1.5594303723718752
5458;2338;50;8;1193.946980128221;2.7461337443673797
5459;12345;50;8;1193.9634343357789;1.2567723673274849
5460;2363;50;8;1193.9769487132914;2.01836708565325
5461;3417;50;8;1194.0094026722552;2.2952567704035802
5462;9853;50;8;1194.0104526214707;1.3864149982968188
5463;12630;50;8;1194.0287429309699;1.4453650769660438
5464;8189;50;8;1194.0361308615911;1.022374272148266
5465;709;50;8;1194.2102363068007;2.730512620544367
5466;6458;50;8;1194.2303842731465;1.0199505550008896
5467;4460;50;8;1194.2604194478668;3.0700503447882106
5468;2167;50;8;1194.2642603516583;0.8774542930055571
5469;2675;50;8;1194.2680158509118;1.5964801749866961
5470;12941;50;8;1194.2948253671861;1.4351475644757403
5471;6506;50;8;1194.3051870955783;2.5846304595280207
5472;3874;50;8;1194.3066007212797;3.5825123723355645
5473;8102;50;8;1194.3469759880757;2.9850858872277
5474;9889;50;8;1194.355593998543;1.2669423937668618
5475;593;50;8;1194.3629524668002;2.5647533122784423
5476;11757;51;8;1194.389069173151;1.42088361678377
5477;12175;50;8;1194.3923009330356;2.547807735343252
